748067731367464960,,None,"Berlin, Deutschland",RT @mundaufmachen: .@BonkeKolja Freispruch bei #Kindesmissbrauch (Sex mit Kind unter 14J). ): Freibrief für islamische #rapefugees. #dreize…
748040973561761792,,None,Here and there,RT @Korrektheiten: PI: Polizei verschweigt Rapefugee-Vergewaltigung: Gera: Die… https://t.co/ZSkAoC6YjY #PoliticalCorrectness #Polizei #Rap…
748039628024877056,,None,,"RT @Nessie43: @HeikoMaas Wann kümmern Sie sich mal um die wahren Kriminellen,rapefugees und Autoanzünder?"
748034910225567744,,None,,"RT @Nessie43: @HeikoMaas Wann kümmern Sie sich mal um die wahren Kriminellen,rapefugees und Autoanzünder?"
748030733906755585,,None,,RT @Korrektheiten: PI: Polizei verschweigt Rapefugee-Vergewaltigung: Gera: Die… https://t.co/ZSkAoC6YjY #PoliticalCorrectness #Polizei #Rap…
748029870895173634,,None,"Dresden, Deutschland","Keine angeblichen #Krimigranten, kein Flüchtlingsheim. Ergo: Kein Shitstorm. Merkwürdig... https://t.co/Q4CWHyO290"
748029637771558912,,None,,RT @Korrektheiten: PI: Polizei verschweigt Rapefugee-Vergewaltigung: Gera: Die… https://t.co/ZSkAoC6YjY #PoliticalCorrectness #Polizei #Rap…
748027248679260165,,None,Berlin,PI: Polizei verschweigt Rapefugee-Vergewaltigung: Gera: Die… https://t.co/ZSkAoC6YjY #PoliticalCorrectness #Polizei #Rapefugees
748026468559630336,,None,Deutschland,"RT @CH2CH2CH2CH2CH2: Kein Jude muss vor der #AfD Angst haben,aber wohl vor dem #Islam #StopIslam #Islamisierung  https://t.co/izt9xbmfzd ht…"
748015329033469952,,None,Deutschland,"@mmelis_c Falsch. 1 Milliarde Moslems, die absolute Mehrheit, wollen Sharia. #StopIslam #Istanbul https://t.co/y1VnJsxBd5"
748006178219769856,,None,,RT @CH2CH2CH2CH2CH2: Merken die Menschen überhaupt was passiert #Asyl #StopIslam #Islamisierung  https://t.co/RWNzdsjW9x
748005363761430529,,None,"Limburg, Nederland",Merken die Menschen überhaupt was passiert #Asyl #StopIslam #Islamisierung  https://t.co/RWNzdsjW9x
747919427920863232,,None,Deutschland,"@susi_wtf2903 @mmelis_c sagt keiner. Nicht alle Moslems sind Terroristen. Aber alle Moslems haben einen Terroristen als Vorbild.
#StopIslam"
747913429487357957,,None,Deutschland,"@mmelis_c Islamistischer Terror hat keine Religion...? Merkste selbst, ne?

#Istanbul #StopIslam"
747911829700108288,,None,Deutschland,@MrMoonhead_ @welt Muslime sind keine Rasse und Islam ist keine Religion sondern eine Gefahr die ausgemerzt gehört. #StopIslam
747908885000916993,,None,"Munich, Germany",Der Islam züchtet Untermenschen wie keine andere Ideologie. #StopIslam
747908515562393600,,None,,"RT @MartinaHuber15: Die friedlichste aller Religionen,hat wieder zugeschlagen! #Istanbul #AfD #stopislam"
747908054126071809,,None,"Bayern, Landshut","Die friedlichste aller Religionen,hat wieder zugeschlagen! #Istanbul #AfD #stopislam"
747904716114378752,,None,Bonn,"RT @CH2CH2CH2CH2CH2: Kein Jude muss vor der #AfD Angst haben,aber wohl vor dem #Islam #StopIslam #Islamisierung  https://t.co/izt9xbmfzd ht…"
747899216526213120,,None,,"RT @Nessie43: @HeikoMaas Wann kümmern Sie sich mal um die wahren Kriminellen,rapefugees und Autoanzünder?"
