name	lat	lon	einwohner	typ
freiburg (elbe)	53.82379	9.28382	2052	Flecken
harsefeld	53.4538	9.50351000000001	11888	Flecken
horneburg, niederelbe	53.50697	9.57553	5633	Flecken
stade, niederelbe	53.5993	9.47433	45682	Stadt
bad bevensen	53.07956	10.58218	8852	Stadt
bad bodenteich	52.83651	10.6771	4025	Flecken
ebstorf	53.02563	10.41737	5361	Flecken
uelzen, lüneburger heide	52.96601	10.55776	35203	Stadt
achim bei bremen	53.010945	9.037355	30092	Stadt
langwedel, kreis verden	52.98002	9.18256999999994	14716	Flecken
ottersberg bei bremen	53.10958	9.14566000000002	12110	Flecken
verden (aller)	52.92514	9.23824999999999	26899	Stadt
delmenhorst	53.05227	8.63375999999994	76094	Stadt
emden, ostfriesland	53.36034	7.20492000000002	51670	Stadt
oldenburg in oldenburg	53.15035	8.21063000000004	158394	Stadt
osnabrück	52.28201	8.04326000000003	164489	Stadt
wilhelmshaven	53.53112	8.10604999999998	84118	Stadt
westerstede	53.25531	7.92592000000002	21915	Stadt
aurich, ostfriesland	53.48390	7.51512	40439	Stadt
hage, ostfriesland	53.60290	7.28469	5767	Flecken
marienhafe	53.52240	7.27194	1920	Flecken
norden, ostfriesland	53.59610	7.18947	25122	Stadt
norderney	53.70720	7.14695	5992	Stadt
cloppenburg	52.84463	8.05208	31374	Stadt
friesoythe	53.02458	7.85832000000005	20369	Stadt
löningen	52.73588	7.75874999999996	13088	Stadt
freren	52.48688	7.54392000000007	5040	Stadt
haren (ems)	52.79468	7.23676	22697	Stadt
haselünne	52.67603	7.48146999999994	12543	Stadt
lingen (ems)	52.52499	7.32275000000004	51318	Stadt
meppen	52.691715	7.287101	34201	Stadt
papenburg	53.0762	7.41959999999995	34440	Stadt
jever	53.57114	7.89654999999993	13961	Stadt
schortens	53.53960	7.96113	21343	Stadt
wangerooge, nordseebad	53.79030	7.90001	1093	Nordseebad
varel, jadebusen	53.38570	8.11782	25204	Stadt
bad bentheim	52.30127	7.15761999999995	15258	Stadt
neuenhaus, dinkel	52.4965452599612	6.96676655952456	9329	Stadt
nordhorn	52.43002	7.06858999999997	52950	Stadt
schüttorf	52.32487	7.22765000000004	11507	Stadt
borkum	53.5881559	6.6879704	5559	Stadt
detern	53.21288	7.66205000000002	2499	Flecken
leer (ostfriesland)	53.23765	7.46720000000005	33682	Stadt
weener	53.16421	7.34636	15534	Stadt
harpstedt	52.90861	8.58726999999999	4471	Flecken
wildeshausen	52.89192	8.42608999999993	17717	Stadt
bad iburg	52.15479	8.04529000000002	11733	Stadt
bersenbrück	52.5521397775771	7.94440215881355	7751	Stadt
bramsche, hase	52.4078023178029	8.00126861389163	31013	Stadt
dissen am teutoburger wald	52.11525	8.19868999999994	9270	Stadt
fürstenau bei bramsche	52.51811	7.67391999999995	9928	Stadt
georgsmarienhütte	52.20181	8.04848000000004	32650	Stadt
melle, wiehengeb	52.20358	8.33725000000004	46417	Stadt
quakenbrück	52.6757026235215	7.95025749206548	12534	Stadt
damme, dümmer	52.52354	8.19652999999994	15748	Stadt
dinklage	52.66299	8.12405999999999	12368	Stadt
lohne (oldenburg)	52.66669	8.23281999999995	25247	Stadt
vechta	52.72955	8.28384000000005	29797	Stadt
brake (unterweser)	53.32658	8.47806000000003	16341	Stadt
elsfleth	53.23785	8.45695999999998	9195	Stadt
nordenham	53.49922	8.48905000000002	27702	Stadt
esens	53.64690	7.61283	6800	Stadt
wittmund	53.59080	7.76473	21355	Stadt
bremen	53.07516	8.80777	545932	Stadt
bremerhaven	53.55017	8.58236999999997	117281	Stadt
düsseldorf	51.220507741497	6.81216996826174	572663	Stadt
duisburg	51.43511	6.76301000000001	504403	Stadt
essen, ruhr	51.4624880801468	7.00864483062742	582140	Stadt
krefeld	51.3389572010443	6.58528489430751	238270	Stadt
mönchengladbach	51.1801	6.44234000000006	261966	Stadt
mülheim an der ruhr	51.4312	6.88050999999996	170327	Stadt
oberhausen	51.4966333148967	6.85141620635989	214024	Stadt
remscheid	51.18330	7.20000	116827	Stadt
solingen	51.17038	7.05448000000001	164205	Stadt
wuppertal	51.26136	7.16302999999994	361077	Stadt
emmerich am rhein	51.8398915048952	6.25161420104973	29390	Stadt
geldern	51.52064	6.32633999999996	33861	Stadt
goch	51.67988	6.15647999999999	33830	Stadt
kalkar, niederrhein	51.73793	6.29086000000007	14010	Stadt
kevelaer	51.58178	6.24601000000007	27928	Stadt
kleve, niederrhein	51.78708	6.13013999999998	49249	Stadt
rees	51.76723	6.40179000000001	22502	Stadt
straelen	51.4428318500105	6.26589752380369	15401	Stadt
erkrath	51.22171	6.90697999999998	47807	Stadt
haan, rheinland	51.19238	7.00689	29370	Stadt
heiligenhaus bei velbert	51.32748147456	6.96555420104983	27789	Stadt
hilden	51.16819	6.93640000000005	56524	Stadt
langenfeld (rheinland)	51.10000	6.95000	59007	Stadt
mettmann	51.25097	6.97401000000002	39481	Stadt
monheim am rhein	51.10000	6.89167	43819	Stadt
ratingen	51.2965653110169	6.84012947082522	91887	Stadt
velbert	51.340016	7.04161	83621	Stadt
wülfrath	51.2804277878726	7.03497962951656	22382	Stadt
dormagen	51.094444444444	6.841666666666	63431	Stadt
grevenbroich	51.08330	6.58333	64886	Stadt
kaarst	51.2243509285907	6.61731373016357	42494	Stadt
korschenbroich	51.18949	6.51571000000001	33645	Stadt
meerbusch	51.2505139003074	6.69065967742927	54758	Stadt
neuss	51.2038721294835	6.68800777252204	151875	Stadt
kempen, niederrhein	51.3651	6.42042000000004	36358	Stadt
nettetal	51.3122844578804	6.27630918518071	42425	Stadt
tönisvorst	51.32507	6.49053000000004	30255	Stadt
viersen	51.25552	6.39652999999998	76485	Stadt
willich	51.2601699	6.5142186	52860	Stadt
dinslaken	51.56762	6.74745000000007	70461	Stadt
hamminkeln	51.73298	6.59524999999996	27503	Stadt
kamp-lintfort	51.496927622005	6.54225639160154	39750	Stadt
moers	51.4517651179909	6.64085903167722	107930	Stadt
neukirchen-vluyn	51.4425108617499	6.55381946563716	28835	Stadt
rheinberg	51.5462467533736	6.58990206878661	32080	Stadt
voerde (niederrhein)	51.60089	6.68106	38662	Stadt
wesel am rhein	51.6643340981607	6.62966037567139	61591	Stadt
xanten	51.65776	6.44875000000002	21367	Stadt
aachen	50.76670	6.10000	257821	Stadt
bonn	50.73330	7.10000	311938	Stadt
köln	50.93330	6.95000	1024373	Stadt
leverkusen	51.05000	7.01667	161601	Stadt
alsdorf, rheinland	50.88330	6.16667	46462	Stadt
baesweiler	50.90000	6.18333	27933	Stadt
eschweiler, rheinland	50.81670	6.28333	55697	Stadt
herzogenrath	50.86670	6.10000	47254	Stadt
monschau	50.55000	6.25000	13050	Stadt
stolberg (rheinland)	50.76670	6.23333	58781	Stadt
würselen	50.81670	6.13333	37130	Stadt
düren, rheinland	50.80000	6.48333	93486	Stadt
heimbach, eifel	50.63330	6.48333	4685	Stadt
jülich	50.93330	6.36667	33948	Stadt
linnich	50.98330	6.26667	13920	Stadt
nideggen	50.70000	6.48333	10787	Stadt
bedburg, erft	51.00000	6.58333	24861	Stadt
bergheim, erft	50.96670	6.65000	63509	Stadt
brühl, rheinland	50.83330	6.90000	44010	Stadt
erftstadt	50.81670	6.76667	51201	Stadt
frechen	50.91670	6.81667	48654	Stadt
hürth, rheinland	50.86670	6.86667	55001	Stadt
kerpen, rheinland	50.86670	6.70000	64095	Stadt
pulheim	51.00000	6.80000	53884	Stadt
wesseling, rheinland	50.83330	6.98333	35859	Stadt
bad münstereifel	50.55000	6.76667	18760	Stadt
euskirchen	50.66670	6.78333	54793	Stadt
mechernich	50.591691	6.653047	27234	Stadt
schleiden, eifel	50.53330	6.46667	13948	Stadt
zülpich	50.70000	6.65000	20155	Stadt
erkelenz	51.08330	6.31667	44520	Stadt
geilenkirchen	50.96670	6.11667	28436	Stadt
heinsberg, rheinland	51.06670	6.08333	41583	Stadt
hückelhoven	51.05000	6.21667	39607	Stadt
Übach-palenberg	50.93330	6.11667	25436	Stadt
wassenberg	51.10000	6.15000	16224	Stadt
wegberg	51.15000	6.26667	29492	Stadt
bergneustadt	51.03330	7.65000	20600	Stadt
gummersbach	51.03330	7.55000	53183	Stadt
hückeswagen	51.1485193710361	7.33274803161623	16518	Stadt
radevormwald	51.2017153152049	7.35906498413078	24204	Stadt
waldbröl	50.88330	7.61667	19625	Stadt
wiehl	50.95000	7.53333	26604	Stadt
wipperfürth	51.118154710907	7.3955368041992	23695	Stadt
bergisch gladbach	50.98330	7.13333	105896	Stadt
burscheid, rheinland	51.10000	7.11667	19382	Stadt
leichlingen (rheinland)	51.11670	7.01667	27524	Stadt
overath, bergisches land	50.95000	7.30000	27022	Stadt
rösrath	50.90000	7.20000	27095	Stadt
